epoch,accuracy,precision,recall,f1,cost,time
92,0.583344,0.56343,0.785941,0.656339,0.681772,136
93,0.58322,0.563442,0.784721,0.655922,0.681702,136
94,0.583467,0.563729,0.783744,0.655775,0.681631,135
95,0.584209,0.564346,0.7835,0.656106,0.681561,136
96,0.584209,0.564414,0.782768,0.655895,0.681491,136
97,0.584085,0.564405,0.781792,0.655546,0.681422,136
98,0.584085,0.564519,0.780571,0.655194,0.681353,136
99,0.584579,0.564987,0.779839,0.65525,0.681284,140
100,0.584826,0.56521,0.779595,0.655314,0.681216,139
-1,0.551416,0.54306,0.745117,0.628242,-1,-1
